id,chapterNo,chapterTitle,unitNo,unitTitle,wordNo,originalWord,word,translation,partOfSpeech,example,exampleZh,translationSource,exampleSource,qaFlags,source,note
0463,6,Numbers,29,Cardinal Numbers 1,16,number,number,號碼,n.[C],May I have your phone number?,我可以知道你的電話號碼嗎？,source_771,source_771,,PDF text layer,number (n.) O
0464,6,Numbers,29,Cardinal Numbers 1,17,zero,zero,零,n.a.；0；Water freezes at zero degrees. 21 nineteen (,This lesson uses the word zero in the unit Cardinal Numbers 1.,本課程在基數詞 1 單元中使用「零」一詞。,source_771,generated_example,,PDF text layer,"•f"" 2 zero ['Zlro] (n.) (a.)"
0465,6,Numbers,29,Cardinal Numbers 1,18,one,one,一,n.a.；1,Humans have one nose and two eyes.,人類有一個鼻子和兩隻眼睛。,source_771,source_771,,PDF text layer,r 3 one [wAn] (n.) (a.)
0466,6,Numbers,29,Cardinal Numbers 1,19,tul,tul,圖爾,,This lesson uses the word tul in the unit Cardinal Numbers 1.,本課程在基數 1 單元中使用單字 tul。,machine_translation,generated_example,,PDF text layer,4 two [tul (n.) (a.)
0467,6,Numbers,29,Cardinal Numbers 1,20,nineteen,nineteen,十九,n.a.；19,Lisa is nineteen years old.,麗莎十九歲。,source_771,curated_example,,PDF text layer,21 nineteen (n.) (a.)
0468,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,1,forty,forty,四十,n.a.；40,Yesterday my dad met an old friend that he had not seen for forty years.,昨天我爸爸見到了一位四十年未見的老朋友。,source_771,source_771,,PDF text layer,i •k 2 forty (n.) (
0469,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,2,fifty,fifty,五十,n.a.；50,We ordered fifty bottles of Coke for the party.,我們為聚會訂了五十瓶可樂。,source_771,source_771,,PDF text layer,3 fifty (n.) (a.)
0470,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,3,sixty,sixty,六十,n.a.；60,T here are sixty people in my class. o,我班有六十個人。哦,source_771,source_771,,PDF text layer,4 sixty ['slkstl] (n.) (a.)
0471,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,4,seventy,seventy,七十,n.a.；70,Gina spent seventy US dollars on a gift for her mother.,吉娜花了七十美元給媽媽買了一份禮物。,source_771,source_771,,PDF text layer,5 seventy (n.) (a.)
0472,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,5,eighty,eighty,八十,n.a.；80,My grandfather will be eighty years old this month.,這個月我爺爺就八十歲了。,source_771,source_771,,PDF text layer,6 eighty
0473,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,6,ninety,ninety,九十,n.a.；90,There are only ninety students in this school.,這所學校只有九、十名學生。,source_771,source_771,,PDF text layer,7 ninety (n.) (a.)
0474,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,7,hundred,hundred,百,n.a.；100,Jenny borrowed one hundred US dollars from Lisa.,珍妮向麗莎借了一百美元。,source_771,source_771,,PDF text layer,8 hundred
0475,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,8,thousand,thousand,千,n.a.；1000,The company employs over a thousand workers.,該公司擁有一千多名員工。,source_771,source_771,,PDF text layer,9 thousand (n.) (a.)
0476,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,9,million,million,百萬,n.a.,Two million people live in this city.,這座城市居住著兩百萬人。,source_771,source_771,,PDF text layer,million (n.) (a.)
0477,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,10,first,first,第一,n.a.,When will the first bus arrive? Who came in second in the race?,第一班巴士什麼時候到達？誰在比賽中獲得第二名？,source_771,source_771,,PDF text layer,11 first (n.) (a.)
0478,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,11,second,second,第二,n.a.,This lesson uses the word second in the unit Cardinal Numbers 2 and Ordinal Numbers.,本課程在基數詞 2 和序數詞單元中使用單字「秒」。,source_771,generated_example,duplicate_word,PDF text layer,second (n.) (a.)
0479,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,12,third,third,第三,n.a.,Joyce won the third prize in the speech contest.,喬伊斯在演講比賽中獲得了三等獎。,source_771,source_771,,PDF text layer,third (n.) (a.)
0480,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,13,last,last,最後,n.a.,Who was the last person to leave the house?,最後一個離開家的人是誰？,source_771,source_771,,PDF text layer,14 last (n.) (a.)
0481,6,Numbers,30,Cardinal Numbers 2 and Ordinal Numbers,14,total,total,總數,n.,The total is 20 dollars.,總共是20美元。,source_771,source_771,,PDF text layer,total (n.)
0482,7,Time,31,A Day,1,day,day,天,n.[C],There are 24 hours in a day.,一天有24小時。,source_771,source_771,,PDF text layer,I day (n.)o
0483,7,Time,31,A Day,2,dawn,dawn,黎明,n.[C],Dawn is the beginning of a new day.,黎明是新一天的開始。,source_771,source_771,,PDF text layer,e 2 dawn (n.)OO
0484,7,Time,31,A Day,3,beginning,beginning,開始,n.[C],Dawn is the beginning of a new day.,黎明是新一天的開始。,source_771,source_771,,PDF text layer,e 3 beginning (n.)O
0485,7,Time,31,A Day,4,morning,morning,早,n.[C],This lesson uses the word morning in the unit A Day.,本課程在「一天」單元中使用「早晨」一詞。,source_771,generated_example,,PDF text layer,morning
0486,7,Time,31,A Day,5,noon,noon,中午,n.[C],Are you going out with us at noon?,中午你跟我們一起出去嗎？,source_771,source_771,,PDF text layer,noon (n.)O
0487,7,Time,31,A Day,6,afternoon,afternoon,下午,n.[C],Where are you going this afternoon?,今天下午你要去哪裡？,source_771,source_771,,PDF text layer,6 afternoon (n.) O
0488,7,Time,31,A Day,7,evening,evening,傍晚,n.[C],What a wonderful evening! in the evening在傍晚,多麼美好的夜晚啊！晚上在海濱,source_771,source_771,,PDF text layer,* 7 evening (n.)o
0489,7,Time,31,A Day,8,night,night,夜晚,n.[C],It is a beautiful night.,這是一個美麗的夜晚。,source_771,source_771,,PDF text layer,* 8 night (n.)OO
0490,7,Time,31,A Day,9,midnight,midnight,午夜,n.[C],It's almost midnight. You should go to bed.,已經快半夜了。你應該去睡覺了。,source_771,source_771,,PDF text layer,• 9 midnight (n.)O
0491,7,Time,31,A Day,10,p.m.,p.m.,下午；晚上,,Amber finishes school at 4 p.m.,安布爾下午 4 點放學。,source_771,source_771,,PDF text layer,11 p.m. (abbr.)
0492,7,Time,31,A Day,11,daily,daily,每日,a.,The children are taking their daily bath.,孩子們每天都在洗澡。,source_771,source_771,,PDF text layer,012 daily (a.)
0493,7,Time,31,A Day,12,bath,bath,洗澡,n.[C],This lesson uses the word bath in the unit A Day.,本課程在「一天」單元中使用「沐浴」一詞。,source_771,generated_example,,PDF text layer,bath
0494,7,Time,31,A Day,13,early,early,早的；提早,,The early bird catches the worm. My children came home early today.,早起的鳥兒有蟲吃。我的孩子們今天很早就回家了。,source_771,source_771,,PDF text layer,early (a.) (adv.)
0495,7,Time,31,A Day,14,ate,ate,吃了,,This lesson uses the word ate in the unit A Day.,本課程在「一天」單元中使用「ate」一詞。,machine_translation,generated_example,,PDF text layer,late (a.) (adv.)
0496,7,Time,31,A Day,15,bathe,bathe,洗澡,v.,Ian bathes right after he wakes up.,伊恩醒來後立即洗澡。,source_771,source_771,,PDF text layer,bathe [beö] (v.)
0497,7,Time,31,A Day,16,wake,wake,醒來,v.,This lesson uses the word wake in the unit A Day.,本課程在「一天」單元中使用「喚醒」一詞。,source_771,generated_example,,PDF text layer,17 wake [wek] (v.)
0498,7,Time,32,The Week and Dates,1,century,century,世紀,n.[C],We live in the 21st century.,我們生活在21世紀。,source_771,source_771,,PDF text layer,21 century
0499,7,Time,32,The Week and Dates,2,yesterday,yesterday,昨日,n.[C],Yesterday was my birthday.,昨天是我的生日。,source_771,source_771,,PDF text layer,yesterday
0500,7,Time,32,The Week and Dates,3,week,week,週,n.[C],How many days do you work in a week?,你一週工作幾天？,source_771,source_771,,PDF text layer,* 3 week (n.) o
0501,7,Time,32,The Week and Dates,4,weekend,weekend,週末,n.[C],Do you have any plans for the weekend?,你周末有什麼計畫嗎？,source_771,source_771,,PDF text layer,* 4 weekend
0502,7,Time,32,The Week and Dates,5,Monday,Monday,星期一,n.[C],People usually don't feel like working on Monday.,人們通常在周一不想工作。,source_771,source_771,,PDF text layer,5 Monday (n.)o
0503,7,Time,32,The Week and Dates,6,Tuesday,Tuesday,星期二,n.[C],Mandy has a dance class on Tuesday evening.,曼迪週二晚上有舞蹈課。,source_771,source_771,,PDF text layer,Tuesday
0504,7,Time,32,The Week and Dates,7,Wednesday,Wednesday,星期三,,This lesson uses the word Wednesday in the unit The Week and Dates.,本課程在「週間和日期」單元中使用「星期三」一詞。,machine_translation,generated_example,,PDF text layer,7 Wednesday (n.)
0505,7,Time,32,The Week and Dates,8,Thursday,Thursday,星期四,,This lesson uses the word Thursday in the unit The Week and Dates.,本課程在「週間和日期」單元中使用「星期四」一詞。,machine_translation,generated_example,,PDF text layer,8 Thursday (n.)o
0506,7,Time,32,The Week and Dates,9,Friday,Friday,星期五,n.[C],Benson and I have a date on Friday night.,本森和我周五晚上有個約會。,source_771,source_771,,PDF text layer,Friday
0507,7,Time,32,The Week and Dates,10,Sunday,Sunday,星期天,n.[C],Lisa is coming to visit us this Sunday.,麗莎這週日會來看我們。,source_771,source_771,,PDF text layer,Sunday (n.)o
0508,7,Time,32,The Week and Dates,11,year,year,年,n.[C],Tom has studied Chinese for a year.,湯姆學了一年中文。,source_771,source_771,,PDF text layer,year (n.) O
0509,7,Time,32,The Week and Dates,12,weekday,weekday,平日,n.[C],"The weekdays on this calendar are printed in black, holiday假日; Chinese calendar農曆、陰曆",此日曆上的工作日以黑色列印，假日為假日；農曆、陰曆,source_771,source_771,,PDF text layer,1 weekday (n.) O
0510,7,Time,32,The Week and Dates,13,calendar,calendar,日月曆,n.[C],This lesson uses the word calendar in the unit The Week and Dates.,本課程在「週間和日期」單元中使用「日曆」一詞。,source_771,generated_example,,PDF text layer,e 2 calendar (n.) o
0511,7,Time,32,The Week and Dates,14,today,today,今天,n.[C],What are your plans for today?,你今天有什麼計劃？,source_771,source_771,,PDF text layer,today (n.) (adv.)0
0512,7,Time,32,The Week and Dates,15,tomorrow,tomorrow,明天,n.[C],Tomorrow is the 15th.,明天就是15號了。,source_771,source_771,,PDF text layer,tomorrow (n.) (adv.) Tomorrow is the 1 5th.
0513,7,Time,32,The Week and Dates,16,holiday,holiday,假期,,This lesson uses the word holiday in the unit The Week and Dates.,本課程在「週間和日期」單元中使用「假期」一詞。,machine_translation,generated_example,duplicate_word,PDF text layer,holiday
0514,7,Time,32,The Week and Dates,17,Chinese calendar,Chinese calendar,農曆,,This lesson uses the word Chinese calendar in the unit The Week and Dates.,本課程在「週間和日期」單元中使用「中國日曆」一詞。,machine_translation,generated_example,,PDF text layer,Chinese calendar
0515,7,Time,32,The Week and Dates,18,date,date,日期,n.[C],What is today's date?,今天是幾號？,source_771,source_771,,PDF text layer,date (n.)
0516,7,Time,33,Months and Seasons,1,August,August,八月,n.[C][U],Our summer vacation is in July and August.,我們的暑假是七月和八月。,source_771,source_771,,PDF text layer,August
0517,7,Time,33,Months and Seasons,2,March,March,三月,n.[C][U],"My birthday is in March, and my sister's is in April.",我的生日是三月，我姊姊的生日是四月。,source_771,source_771,,PDF text layer,4 March (n.)OO
0518,7,Time,33,Months and Seasons,3,April,April,四月,n.[C][U],"The spring months are March, April and May.",春季是三月、四月和五月。,source_771,source_771,,PDF text layer,5 April (n.)OO
0519,7,Time,33,Months and Seasons,4,May,May,五月,n.[C][U],Will you take a vacation in May or June?,你會在五月或六月休假嗎？,source_771,source_771,duplicate_word,PDF text layer,6 May [me] (n.)oo
0520,7,Time,33,Months and Seasons,5,June,June,六月,n.[C][U],This lesson uses the word June in the unit Months and Seasons.,本課程在「月份和季節」單元中使用「六月」一詞。,source_771,generated_example,,PDF text layer,•k 7 June [d3un] (n.)oo
0521,7,Time,33,Months and Seasons,6,July,July,七月,n.[C][U],We can go to the beach in July and August.,我們可以在七月和八月去海灘。,source_771,source_771,,PDF text layer,July (n.)OO
0522,7,Time,33,Months and Seasons,7,September,September,九月,n.[C][U],Amy will travel to the USA in September.,艾米將於九月前往美國。,source_771,source_771,,PDF text layer,September (n.)
0523,7,Time,33,Months and Seasons,8,II October,II October,十月二號,,This lesson uses the word II October in the unit Months and Seasons.,本課程在「月份和季節」單元中使用「II October」一詞。,machine_translation,generated_example,,PDF text layer,II October
0524,7,Time,33,Months and Seasons,9,OO,OO,哦,,This lesson uses the word OO in the unit Months and Seasons.,本課程在“月份和季節”單元中使用“OO”一詞。,machine_translation,generated_example,duplicate_word,PDF text layer,OO
0525,7,Time,33,Months and Seasons,10,November,November,十一月,n.[C][U],Mark and Tony were both born in November.,馬克和東尼都出生於十一月。,source_771,source_771,,PDF text layer,November (n.)
0526,7,Time,33,Months and Seasons,11,December,December,十二月,n.[C][U],It's usually cold in December.,十二月通常很冷。,source_771,source_771,,PDF text layer,December (n.)
0527,7,Time,33,Months and Seasons,12,season,season,四季,n.[C][U],There are four seasons in a year.,一年有四個季節。,source_771,source_771,,PDF text layer,season (n.) o
0528,7,Time,33,Months and Seasons,13,spring,spring,春天,n.[C][U],Spring is my favorite season.,春天是我最喜歡的季節。,source_771,source_771,duplicate_word,PDF text layer,spring (n.)OO
0529,7,Time,33,Months and Seasons,14,summer,summer,夏天,,This lesson uses the word summer in the unit Months and Seasons.,本課程在“月份和季節”單元中使用“夏天”一詞。,machine_translation,generated_example,,PDF text layer,summer (n.) 00
0530,7,Time,33,Months and Seasons,15,autumn,autumn,秋天,n.[C][U],The leaves will turn red in the autumn/fall.,秋天葉子會變紅。,source_771,source_771,,PDF text layer,autumn (n.)OO
0531,7,Time,33,Months and Seasons,16,fall,fall,秋天；落下,n.[C][U],Fall is my favorite season.,秋天是我最喜歡的季節。,source_771,curated_example,,PDF text layer,fall
0532,7,Time,33,Months and Seasons,17,winter,winter,冬天,n.[C][U],"The children always make a snowman in the winter. winter coat/shoes 冬衣,鞋;snowmen (雪人的複數)",冬天孩子總是堆雪人。冬季外套/鞋 冬衣、鞋子;雪人 (雪人的複數),source_771,source_771,,PDF text layer,winter
0533,7,Time,33,Months and Seasons,18,snowman,snowman,雪人,n.[C],This lesson uses the word snowman in the unit Months and Seasons.,本課程在「月份和季節」單元中使用「雪人」一詞。,source_771,generated_example,,PDF text layer,'20 snowman (n.) O
0534,7,Time,33,Months and Seasons,19,month,month,月,n.[C],Robert is leaving for Japan next month.,羅伯特下個月要去日本。,source_771,source_771,,PDF text layer,* 1 month (n.)o
0535,7,Time,33,Months and Seasons,20,January,January,一月,n.[C][U],"In the north, January and February are the coldest months.",在北方，一月和二月是最冷的月份。,source_771,source_771,,PDF text layer,2 January (n.)oo
0536,7,Time,33,Months and Seasons,21,February,February,二月,n.[C][U],This lesson uses the word February in the unit Months and Seasons.,本課程在「月份和季節」單元中使用「二月」一詞。,source_771,generated_example,,PDF text layer,3 February (n.)OO
0537,7,Time,34,"Past, Present, and Future",1,time,time,時間,n.[C][U],What time is it? I have told him his three times.,現在幾點了？我已經跟他說過三遍了。,source_771,source_771,,PDF text layer,time (n.)OO
0538,7,Time,34,"Past, Present, and Future",2,now,now,現在,,Can I talk to you now?,我現在可以和你談談嗎？,source_771,source_771,,PDF text layer,* 2 now (adv.)
0539,7,Time,34,"Past, Present, and Future",3,current,current,目前的,a.,Who is the current president of that country?,該國現任總統是誰？,source_771,source_771,,PDF text layer,e 3 current (a.)
0540,7,Time,34,"Past, Present, and Future",4,present,present,現在的,a.,At the present time I have no answer.,目前我還沒有答案。,source_771,source_771,,PDF text layer,present (a.)
0541,7,Time,34,"Past, Present, and Future",5,moment,moment,片刻,n.[C][U],Just a moment.I will be right back.,請稍等，我馬上回來。,source_771,source_771,,PDF text layer,moment (n.)00
0542,7,Time,34,"Past, Present, and Future",6,past,past,過去的,a.,David has worked very hard for the past few years.,過去幾年，大衛工作非常努力。,source_771,source_771,duplicate_word,PDF text layer,f 6 past (a.)
0543,7,Time,34,"Past, Present, and Future",7,former,former,之前的,a.,Our former high school science teacher just passed away.,我們以前的高中科學老師剛剛去世。,source_771,source_771,,PDF text layer,7 former
0544,7,Time,34,"Past, Present, and Future",8,ancient,ancient,古代的,a.,"In ancient times, there was a city here.",遠古時期，這裡有一座城。,source_771,source_771,,PDF text layer,e 9 ancient (a.)
0545,7,Time,34,"Past, Present, and Future",9,tonight,tonight,今晚,,Would you please have dinner with me tonight?,今晚你能和我一起吃晚餐嗎？,source_771,source_771,,PDF text layer,tonight (adv.)
0546,7,Time,34,"Past, Present, and Future",10,soon,soon,很快；不久,,Is Betty coming soon?,貝蒂快來了嗎？,source_771,source_771,,PDF text layer,soon
0547,7,Time,34,"Past, Present, and Future",11,period,period,期間,n.[C],There will be no Internet service during this period of time.,期間將不會有網路服務。,source_771,source_771,,PDF text layer,'12 period (n.)O
0548,7,Time,34,"Past, Present, and Future",12,next,next,下一個,a.,What is the next question?,下一個問題是什麼？,source_771,source_771,,PDF text layer,next (a.)
0549,7,Time,34,"Past, Present, and Future",13,future,future,未來,n.[U],Donna wants to be a singer in the future.,唐娜將來想成為一名歌手。,source_771,source_771,,PDF text layer,future (n.) o
0550,7,Time,34,"Past, Present, and Future",14,iater,iater,伊阿特,,"This lesson uses the word iater in the unit Past, Present, and Future.",本課程在「過去」、「現在」和「未來」單元中使用「iater」一詞。,machine_translation,generated_example,,PDF text layer,iater (a.)
0551,7,Time,34,"Past, Present, and Future",15,latter,latter,後面的,a.,Their latest video game will be out in the latter part of the month.,他們最新的視頻遊戲將於本月下旬推出。,source_771,source_771,,PDF text layer,'16 latter
0552,7,Time,35,Telling the Time,1,type,type,類型,,This lesson uses the word type in the unit Telling the Time.,本課程使用「報時」單元中的「類型」一詞。,machine_translation,generated_example,duplicate_word,PDF text layer,type
0553,7,Time,35,Telling the Time,2,clock,clock,鐘,n.[C],The clock is broken.,時鐘壞了。,source_771,source_771,,PDF text layer,* I clock (n.)o
0554,7,Time,35,Telling the Time,3,second,second,第二,n.a.,This lesson uses the word second in the unit Telling the Time.,本課程在「報時」單元中使用「秒」一詞。,source_771,generated_example,duplicate_word,PDF text layer,2 second (n.)o
0555,7,Time,35,Telling the Time,4,minute,minute,分鐘,n.[C],There are 60 minutes in an hour.,一小時有60分鐘。,source_771,source_771,,PDF text layer,minute (n.)o
0556,7,Time,35,Telling the Time,5,hour,hour,小時,n.[C],There are 24 hours in a day.,一天有24小時。,source_771,source_771,,PDF text layer,hour (n.)o
0557,7,Time,35,Telling the Time,6,quarter,quarter,一刻,n.[C],Right now it is a quarter past three.,現在是三點一刻。,source_771,source_771,duplicate_word,PDF text layer,* 5 quarter (n.)o
0558,7,Time,35,Telling the Time,7,past,past,過去的,a.,David has worked very hard for the past few years.,過去幾年，大衛工作非常努力。,source_771,source_771,duplicate_word,PDF text layer,6 past (prep.)
0559,7,Time,35,Telling the Time,8,instant,instant,即時,a.,You can send me an instant message at any time.,您可以隨時向我發送即時訊息。,source_771,source_771,,PDF text layer,7 instant (a.)
0560,7,Time,35,Telling the Time,9,stop watch,stop watch,碼錶,n.[C],The coach uses a stop watch to record the runner's time.,教練用秒錶記錄跑步者的時間。,source_771,source_771,,PDF text layer,9 stop watch (n.)
0561,7,Time,35,Telling the Time,10,watch,watch,手錶,n.[C],Do you like the watch your father gave you?,你喜歡父親送給你的手錶嗎？,source_771,source_771,duplicate_word,PDF text layer,watch (n.) o
0562,7,Time,35,Telling the Time,11,electric,electric,電子,a.,We just bought a new electric stove.,我們剛買了一個新的電爐。,source_771,source_771,,PDF text layer,'12 electric (a.)
0563,7,Time,35,Telling the Time,12,set,set,設定,v.,Can you please set the alarm clock for five o'clock? R,你能把鬧鐘定在五點嗎？右,source_771,source_771,,PDF text layer,set (v.)
0564,7,Time,35,Telling the Time,13,turn on,turn on,打開；啟動,,emember to turn on your alarm clock.,記得打開鬧鐘。,source_771,source_771,,PDF text layer,e 14 turn on (phr.)
0565,7,Time,35,Telling the Time,14,turn off,turn off,關掉；關閉,,Turn off the alarm clock. It's very noisy.,關掉鬧鐘。非常吵。,source_771,source_771,,PDF text layer,e 15 turn off (phr.)
0566,7,Time,35,Telling the Time,15,go off,go off,響起；離開；爆炸,,This lesson uses the word go off in the unit Telling the Time.,本課程在「報時」單元中使用「go off」一詞。,source_771,generated_example,,PDF text layer,16 go off (phr.)
0567,8,Money,36,Different Types of Money,1,money,money,錢,n.[U],Chap I don't have any money with me.,老公我身上沒帶錢。,source_771,source_771,,PDF text layer,money (n.)o
0568,8,Money,36,Different Types of Money,2,cash,cash,現金,n.[U],Do you want to pay with cash or a credit card? withdraw cash提款 ; deposit cash存款,您想用現金還是信用卡支付？提領現金提款；存入現金,source_771,source_771,,PDF text layer,.2 cash (n.)o
0569,8,Money,36,Different Types of Money,3,check,check,檢查,v.,Please check and fix the broken water pipes.,請檢查並修復破損的水管。,source_771,source_771,duplicate_word,PDF text layer,check (n.) o
0570,8,Money,36,Different Types of Money,4,credit card,credit card,信用卡,n.[C],"My credit card was stolen, so I need to call my bank.",我的信用卡被盜了，所以我需要打電話給我的銀行。,source_771,source_771,,PDF text layer,• 4 credit card (n.) 0
0571,8,Money,36,Different Types of Money,5,dollar,dollar,元,n.[C],Jeffrey spent a million dollars buying his new house.,傑弗裡花了一百萬美元買了他的新房子。,source_771,source_771,,PDF text layer,dollar (n.) o
0572,8,Money,36,Different Types of Money,6,pound,pound,英鎊,n.[C],I have 10 pounds. Euro歐元 ; yen日圓,我有10磅。歐元 歐元;日圓日圓,source_771,source_771,duplicate_word,PDF text layer,pound (n.) O
0573,8,Money,36,Different Types of Money,7,cent,cent,分,n.[C],I paid a dollar and 50 cents for this book.,我為這本書付了 1 美元 50 美分。,source_771,source_771,,PDF text layer,cent (n.) o
0574,8,Money,36,Different Types of Money,8,bill,bill,鈔票,n.[C],"I don't have a dollar bill, only coins.",我沒有一美元鈔票，只有硬幣。,source_771,source_771,,PDF text layer,• 8 bill (n.) O
0575,8,Money,36,Different Types of Money,9,coin,coin,硬幣,n.[C],"Coins are heavy, so I try to spend them quickly.",硬幣很重，所以我盡量盡快花完。,source_771,source_771,,PDF text layer,e 9 coin (n.) O
0576,8,Money,36,Different Types of Money,10,change,change,零錢,n.[U],Keep the change! 不用找零了,留著零錢吧！ 找不用零了,source_771,source_771,duplicate_word,PDF text layer,change (n.) O
0577,8,Money,36,Different Types of Money,11,borrow,borrow,借,v.,Jenny borrowed 100 dollars from Lisa.,珍妮向麗莎借了100美元。,source_771,source_771,,PDF text layer,borrow (v.)
0578,8,Money,36,Different Types of Money,12,end,end,結束,,This lesson uses the word end in the unit Different Types of Money.,本課程在「不同類型的貨幣」單元中使用「end」一詞。,machine_translation,generated_example,duplicate_word,PDF text layer,lend (v.)
0579,8,Money,36,Different Types of Money,13,note,note,紙鈔,n.[C],These notes (banknotes) do not look real.,這些紙幣（鈔票）看起來並不真實。,source_771,source_771,duplicate_word,PDF text layer,note (n.) O
0580,8,Money,36,Different Types of Money,14,return,return,還,v.,I found a wallet and returned it to its owner.,我找到了一個錢包並把它還給了它的主人。,source_771,source_771,,PDF text layer,'14 return (v.)
0581,8,Money,36,Different Types of Money,15,Chap,Chap,章,,This lesson uses the word Chap in the unit Different Types of Money.,本課程在「不同類型的貨幣」單元中使用「Chap」一詞。,machine_translation,generated_example,,PDF text layer,Chap
0582,8,Money,37,Buying and Selling,1,fee,fee,費,n.[C],There is a 20 dollar fee for new customers.,新客戶需支付 20 美元的費用。,source_771,source_771,,PDF text layer,e 2 fee (n.) o
0583,8,Money,37,Buying and Selling,2,customer,customer,顧客,n.[C],This lesson uses the word customer in the unit Buying and Selling.,本課程在「購買」和「銷售」單元中使用「客戶」一詞。,source_771,generated_example,,PDF text layer,e 3 customer (n.) O
0584,8,Money,37,Buying and Selling,3,tip,tip,小費,n.[C],"When you're in America, don't forget to give your waiter a tip.",當您在美國時，別忘了給服務員小費。,source_771,source_771,,PDF text layer,tip (n.) C)
0585,8,Money,37,Buying and Selling,4,buy,buy,買,v.,Vicky wants to buy a new skirt.,維琪想買一條新裙子。,source_771,source_771,,PDF text layer,buy (v.)
0586,8,Money,37,Buying and Selling,5,cancel,cancel,取消,v.,"If I cancel my order, will I still be charged?",如果我取消訂單，是否仍需付費？,source_771,source_771,,PDF text layer,'6 cancel (v.)
0587,8,Money,37,Buying and Selling,6,charge,charge,收費,v.,This lesson uses the word charge in the unit Buying and Selling.,本課程在「購買」和「銷售」單元中使用「費用」一詞。,source_771,generated_example,,PDF text layer,e 7 charge (v.)
0588,8,Money,37,Buying and Selling,7,cost,cost,花費,v.,"This sweater cost me 1,000 NT dollars. cost an arm and a leg 索價不菲",這件毛衣花了我1000新台幣。花費一條胳膊和一條腿索價不菲,source_771,source_771,,PDF text layer,cost
0589,8,Money,37,Buying and Selling,8,spend,spend,花費；度過,v.,I spend one hour reading every night.,我每天晚上花一小時讀書。,source_771,curated_example,,PDF text layer,spend (v.)
0590,8,Money,37,Buying and Selling,9,pay,pay,付錢,v.,Do you want me to pay you now?,你要我現在付錢給你嗎？,source_771,source_771,,PDF text layer,pay (v.)
0591,8,Money,37,Buying and Selling,10,cheap,cheap,便宜的,a.,"This ring is beautiful, and it’s quite cheap.",這枚戒指很漂亮，而且價格也很便宜。,source_771,source_771,,PDF text layer,cheap (a.)
0592,8,Money,37,Buying and Selling,11,expensive,expensive,貴的,a.,The watch is too expensive for me.,這塊手錶對我來說太貴了。,source_771,source_771,,PDF text layer,expensive (a.)
0593,8,Money,37,Buying and Selling,12,free,free,免費的,a.,I got a free cup of coffee.,我得到了一杯免費咖啡。,source_771,source_771,,PDF text layer,free [fri] (a.)
0594,8,Money,37,Buying and Selling,13,treat,treat,請客,n.[C],You don't have to pay for dinner. It is my treat.,你不必支付晚餐費用。這是我的請客。,source_771,source_771,,PDF text layer,treat (n.) O
0595,8,Money,37,Buying and Selling,14,value,value,價值,n.[C] [U],What is the value of this old book? valuable 有價值的,這本舊書有什麼價值？有價值的,source_771,source_771,,PDF text layer,'15 value (n.) 00
0596,8,Money,37,Buying and Selling,15,vendor,vendor,小販,n.[C],There are a lot of vendors at that night market.,那個夜市有很多攤販。,source_771,source_771,,PDF text layer,016 vendor (n.) O
0597,8,Money,37,Buying and Selling,16,price,price,價位,n.[C],The price of this house is too high.,這房子的價格太高了。,source_771,source_771,,PDF text layer,price (n.)o
0598,9,Food,38,Fruit,1,watermelon,watermelon,西瓜,n.[C],You shouldnlt swallow watermelon seeds. watermelon juice 西瓜汁,你不應該吞下西瓜籽。西瓜汁 西瓜汁,source_771,source_771,,PDF text layer,watermelon
0599,9,Food,38,Fruit,2,apple,apple,蘋果,n.[C],Bring an apple with you.,隨身攜帶一個蘋果。,source_771,source_771,,PDF text layer,apple (n.) o
0600,9,Food,38,Fruit,3,strawberry,strawberry,草莓,n.[C],I ate a sweet strawberry after lunch.,午飯後我吃了一個甜草莓。,source_771,curated_example,,PDF text layer,strawberry
0601,9,Food,38,Fruit,4,tomato,tomato,番茄,n.[C],I like red tomatoes.,我喜歡紅西紅柿。,source_771,source_771,,PDF text layer,tomato
0602,9,Food,38,Fruit,5,banana,banana,香蕉,n.[C],Bananas are Nick's favorite fruit.,香蕉是尼克最喜歡的水果。,source_771,source_771,,PDF text layer,banana
0603,9,Food,38,Fruit,6,grape,grape,葡萄,n.[C],Do you want grape juice or guava juice?,您想要葡萄汁還是番石榴汁？,source_771,source_771,,PDF text layer,grape (n.) o
0604,9,Food,38,Fruit,7,guava,guava,芭樂,n.[C],I learned the word guava when we talked about food.,當我們談論食物時，我學到了番石榴這個詞。,source_771,generated_example,,PDF text layer,guava (n.) o
